KEYID,PKTYPE,PKTYPE1,PKID,ZONE,PKROAD,x_cen_84,y_cen_84
682936,01,小型車,8,07,西園路一段,121.500051682,25.041055146
682937,01,小型車,9,07,西園路一段,121.500037060,25.041001899
682966,01,小型車,,07,西園路二段140巷,121.495907614,25.030526856
682967,02,機車,,07,西園路二段140巷,121.495779143,25.030666678
682968,02,機車,,07,西園路二段140巷,121.495772714,25.030673548
682969,02,機車,,07,西園路二段140巷,121.495799512,25.030644759
682970,02,機車,,07,西園路二段140巷,121.495793083,25.030651629
682971,01,小型車,,07,西園路二段140巷,121.495832468,25.030609370
682972,01,小型車,,07,西園路二段140巷,121.495871102,25.030568752
683202,02,,,07,西園路2段281巷,121.492374527,25.023991501
683203,02,,,07,西園路2段281巷,121.492369677,25.023999374
683204,02,,,07,西園路2段281巷,121.492359976,25.024015118
683205,02,,,07,西園路2段281巷,121.492364827,25.024007246
683206,02,,,07,西園路2段281巷,121.492355126,25.024022991
683207,02,,,07,西園路2段281巷,121.492350275,25.024030863
683208,14,警用機車,,07,昆明街,121.503760907,25.037871124
683209,14,警用機車,,07,昆明街,121.503759225,25.037862971
683210,14,警用機車,,07,昆明街,121.503754178,25.037838512
683211,14,警用機車,,07,昆明街,121.503747448,25.037805899
683212,14,警用機車,,07,昆明街,121.503755860,25.037846665
683213,14,警用機車,,07,昆明街,121.503752495,25.037830359
683214,14,警用機車,,07,昆明街,121.503757543,25.037854818
683215,14,警用機車,,07,昆明街,121.503764273,25.037887430
683216,14,警用機車,,07,昆明街,121.503765955,25.037895584
683217,14,警用機車,,07,昆明街,121.503750813,25.037822205
683218,14,警用機車,,07,昆明街,121.503762590,25.037879277
683219,14,警用機車,,07,昆明街,121.503749130,25.037814052
683220,14,警用機車,,07,昆明街,121.503737025,25.037757245
683221,14,警用機車,,07,昆明街,121.503738707,25.037765398
683222,14,警用機車,,07,昆明街,121.503743755,25.037789858
683223,14,警用機車,,07,昆明街,121.503745437,25.037798011
683224,14,警用機車,,07,昆明街,121.503742072,25.037781705
683225,14,警用機車,,07,昆明街,121.503740389,25.037773552
683349,02,,,07,大理街160巷20弄,121.495081167,25.032936780
683350,02,,,07,大理街160巷20弄,121.495079602,25.032929946
683351,02,,,07,大理街160巷20弄,121.494940664,25.033015927
683352,02,,,07,大理街160巷20弄,121.494933115,25.033017121
683353,02,,,07,大理街160巷20弄,121.494948081,25.033014699
683357,02,,,07,青年路,121.502870685,25.020993237
683358,02,,,07,青年路,121.502864171,25.020997811
683359,02,機車,,07,青年路,121.502857657,25.021002384
683356,01,小型車,52,07,青年路,121.502793922,25.021048486
683355,01,小型車,51,07,青年路,121.502835015,25.021018896
683361,01,小型車,50,07,青年路,121.502912100,25.020964042
683473,02,機車,,07,西園路一段,121.499812056,25.039577259
683474,02,機車,,07,西園路一段,121.499811324,25.039561862
683475,02,機車,,07,西園路一段,121.499810958,25.039554163
683476,02,機車,,07,西園路一段,121.499810592,25.039546464
683477,02,機車,,07,西園路一段,121.499812088,25.039585058
683478,02,機車,,07,西園路一段,121.499811690,25.039569560
683480,01,小型車,50,07,環河南路二段,121.493574996,25.034646062
683481,01,小型車,48,07,環河南路二段,121.493515630,25.034578125
800495,02,,,,,121.496077323,25.027476371
683793,02,機車,,07,莒光路,121.498569864,25.031197896
683795,02,機車,,07,莒光路,121.498579768,25.031198181
683799,02,機車,,07,莒光路,121.498676295,25.031202361
683800,02,機車,,07,莒光路,121.498686199,25.031202646
683801,02,機車,,07,寶興街,121.495287959,25.023800775
683802,02,機車,,07,寶興街,121.495280165,25.023817376
683803,02,機車,,07,寶興街,121.495295759,25.023784180
683804,02,機車,,07,寶興街,121.495284062,25.023809076
683805,02,機車,,07,寶興街,121.495276269,25.023825677
683806,02,機車,,07,寶興街,121.495291857,25.023792479
683807,02,機車,,07,寶興街,121.495303561,25.023767583
683808,02,機車,,07,寶興街,121.495299660,25.023775881
683809,02,機車,,07,寶興街,121.495307463,25.023759284
683810,02,機車,,07,德昌街,121.495249678,25.023650904
683811,02,機車,,07,德昌街,121.495259538,25.023651798
683812,02,,,07,環河南路二段,121.492232467,25.033127848
683813,02,,,07,環河南路二段,121.492243412,25.033140235
683814,02,,,07,環河南路二段,121.492237940,25.033134042
683815,02,,,07,環河南路二段,121.492226995,25.033121654
683816,02,,,07,環河南路二段,121.492248884,25.033146429
683817,02,,,07,環河南路二段,121.492221730,25.033115900
683818,01,小型車,32,07,環河南路二段,121.492283937,25.033185305
800496,02,,,,,121.496068499,25.027477892
684119,01,機車,10,07,長順街60巷,121.488613532,25.031512441
684120,01,小型車,12,07,長順街60巷,121.488597627,25.031423925
684123,04,身心障礙專用(機,,07,內江街,121.501427189,25.041712400
684122,01,小型車,11,07,長順街60巷,121.488605810,25.031468232
684121,01,小型車,13,07,長順街60巷,121.488590417,25.031380316
684139,02,機車,,07,環河南路二段250巷,121.491257483,25.033530221
684140,02,機車,,07,環河南路二段250巷,121.491292775,25.033510988
684141,02,機車,,07,環河南路二段250巷,121.491285717,25.033514835
684142,02,機車,,07,環河南路二段250巷,121.491271600,25.033522528
684143,02,機車,,07,環河南路二段250巷,121.491264541,25.033526374
684144,02,機車,,07,環河南路二段250巷,121.491278658,25.033518682
684444,02,機車,,07,大理街160巷21弄,121.493083994,25.032717029
684445,02,機車,,07,大理街160巷21弄,121.493092864,25.032713416
684446,02,機車,,07,大理街160巷21弄,121.493101339,25.032709963
684447,02,機車,,07,大理街160巷21弄,121.493110209,25.032706350
684448,02,機車,,07,大理街160巷21弄,121.493136030,25.032695830
684449,02,機車,,07,大理街160巷21弄,121.493118685,25.032702897
684450,02,機車,,07,大理街160巷21弄,121.493127555,25.032699283
684451,02,機車,,07,大理街160巷21弄,121.493144901,25.032692217
684452,02,機車,,07,大理街160巷21弄,121.493369103,25.032602060
684453,02,機車,,07,大理街160巷21弄,121.493377599,25.032598649
684454,02,機車,,07,大理街160巷21弄,121.493412023,25.032584829
684455,02,機車,,07,大理街160巷21弄,121.493420915,25.032581260
684456,02,機車,,07,大理街160巷21弄,121.493438302,25.032574280
684457,02,機車,,07,大理街160巷21弄,121.493429411,25.032577849
684458,02,機車,,07,大理街160巷21弄,121.493342824,25.032612610
684459,02,機車,,07,大理街160巷21弄,121.493351716,25.032609040
684460,02,機車,,07,大理街160巷21弄,121.493394987,25.032591669
684461,02,機車,,07,大理街160巷21弄,121.493386492,25.032595079
684462,02,機車,,07,大理街160巷21弄,121.493360212,25.032605629
684463,02,機車,,07,大理街160巷21弄,121.493403878,25.032588099
684464,02,機車,,07,大理街160巷21弄,121.493464186,25.032563888
684465,02,機車,,07,大理街160巷21弄,121.493446799,25.032570869
684466,02,機車,,07,大理街160巷21弄,121.493455690,25.032567300
684467,02,機車,,07,大理街160巷21弄,121.493473077,25.032560319
684468,02,機車,,07,大理街160巷21弄,121.493490007,25.032553369
684469,02,機車,,07,大理街160巷21弄,121.493481511,25.032556780
684470,02,機車,,07,大理街160巷21弄,121.493498898,25.032549800
684471,02,機車,,07,大理街160巷21弄,121.493170819,25.032681658
684485,02,機車,,07,大理街160巷21弄,121.493153828,25.032688191
684473,02,機車,,07,大理街160巷21弄,121.493179689,25.032678044
684474,02,機車,,07,大理街160巷21弄,121.493197035,25.032670978
684475,02,機車,,07,大理街160巷21弄,121.493222856,25.032660458
684476,02,機車,,07,大理街160巷21弄,121.493205510,25.032667525
684477,02,機車,,07,大理街160巷21弄,121.493214380,25.032663911
684478,02,機車,,07,大理街160巷21弄,121.493188164,25.032674591
684479,02,機車,,07,大理街160巷21弄,121.493231726,25.032656845
684480,02,機車,,07,大理街160巷21弄,121.493239851,25.032653535
684481,02,機車,,07,大理街160巷21弄,121.493248721,25.032649921
684482,02,機車,,07,大理街160巷21弄,121.493266066,25.032642855
684483,02,機車,,07,大理街160巷21弄,121.493291888,25.032632335
684484,02,機車,,07,大理街160巷21弄,121.493162378,25.032685056
684486,02,機車,,07,大理街160巷21弄,121.493257197,25.032646468
684487,02,機車,,07,大理街160巷21弄,121.493300758,25.032628722
684488,02,機車,,07,大理街160巷21弄,121.493309627,25.032625108
684489,02,機車,,07,大理街160巷21弄,121.493318498,25.032621495
684490,02,機車,,07,大理街160巷21弄,121.493533413,25.032537345
684491,02,機車,,07,大理街160巷21弄,121.493542282,25.032533732
